               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.018694,           0.0049566,                   0,             0.99996,                   1,               0.995,             0.79003,             0.01506,           0.0037332,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.01862,           0.0049321,                   0,             0.99997,                   1,               0.995,             0.79094,            0.014984,           0.0037199,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.018633,             0.00499,                   0,             0.99998,                   1,               0.995,              0.7925,            0.014899,           0.0037087,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.018645,           0.0048805,                   0,             0.99988,                   1,               0.995,             0.79321,             0.01484,           0.0037021,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.018465,           0.0049373,                   0,             0.99989,                   1,               0.995,             0.79404,            0.014779,           0.0036975,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.018705,           0.0049858,                   0,             0.99986,                   1,               0.995,             0.79571,            0.014701,           0.0036893,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.018486,           0.0049476,                   0,             0.99987,                   1,               0.995,             0.79679,            0.014641,           0.0036836,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.018569,           0.0049676,                   0,             0.99987,                   1,               0.995,               0.798,            0.014597,           0.0036757,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.018404,            0.004921,                   0,             0.99976,                   1,               0.995,             0.79867,            0.014544,            0.003668,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.018474,           0.0049245,                   0,             0.99974,                   1,               0.995,             0.79994,            0.014489,           0.0036615,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.018506,           0.0049115,                   0,             0.99973,                   1,               0.995,              0.8008,            0.014447,           0.0036546,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.018432,           0.0049373,                   0,             0.99977,                   1,               0.995,             0.80238,             0.01438,           0.0036472,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.018292,           0.0049333,                   0,             0.99978,                   1,               0.995,             0.80306,            0.014307,           0.0036388,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.018535,           0.0049655,                   0,             0.99978,                   1,               0.995,             0.80353,            0.014259,           0.0036342,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.018331,           0.0048861,                   0,             0.99978,                   1,               0.995,             0.80531,            0.014207,           0.0036269,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.018379,           0.0048319,                   0,             0.99979,                   1,               0.995,             0.80545,            0.014158,           0.0036188,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.01817,           0.0048643,                   0,             0.99985,                   1,               0.995,             0.80665,            0.014113,           0.0036133,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.018185,           0.0049208,                   0,             0.99988,                   1,               0.995,             0.80706,            0.014064,            0.003607,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.018167,            0.004861,                   0,             0.99989,                   1,               0.995,              0.8081,            0.014015,           0.0035997,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.018035,           0.0048687,                   0,             0.99988,                   1,               0.995,             0.80928,            0.013957,           0.0035917,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.01801,           0.0048339,                   0,             0.99983,                   1,               0.995,             0.81067,            0.013899,           0.0035847,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.018123,           0.0048918,                   0,             0.99983,                   1,               0.995,             0.81161,            0.013833,           0.0035789,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.018042,           0.0048628,                   0,             0.99986,                   1,               0.995,             0.81272,            0.013778,           0.0035711,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.017867,            0.004865,                   0,             0.99988,                   1,               0.995,             0.81385,             0.01372,           0.0035638,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.017934,           0.0048637,                   0,             0.99996,                   1,               0.995,             0.81514,            0.013662,           0.0035551,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.017684,           0.0048078,                   0,              0.9999,                   1,               0.995,             0.81562,            0.013606,           0.0035463,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.017654,           0.0047912,                   0,              0.9999,                   1,               0.995,              0.8168,            0.013551,            0.003538,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.017773,           0.0048634,                   0,              0.9999,                   1,               0.995,             0.81828,            0.013496,           0.0035304,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.017656,           0.0048341,                   0,             0.99992,                   1,               0.995,              0.8196,            0.013444,           0.0035238,                   0,            0.006799,            0.006799,            0.006799
                  99,             0.01771,           0.0048029,                   0,             0.99989,                   1,               0.995,             0.82065,            0.013393,            0.003517,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.017582,            0.004829,                   0,              0.9999,                   1,               0.995,              0.8216,            0.013341,           0.0035099,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.017639,           0.0047891,                   0,             0.99991,                   1,               0.995,             0.82233,            0.013294,           0.0035027,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.017667,           0.0048568,                   0,              0.9999,                   1,               0.995,             0.82337,            0.013243,           0.0034954,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.017498,           0.0047762,                   0,             0.99992,                   1,               0.995,             0.82462,            0.013191,           0.0034881,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.017466,           0.0047389,                   0,             0.99993,                   1,               0.995,              0.8254,            0.013143,           0.0034808,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.017338,           0.0047547,                   0,             0.99994,                   1,               0.995,             0.82571,            0.013098,           0.0034743,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.017329,           0.0047147,                   0,             0.99994,                   1,               0.995,             0.82666,            0.013049,           0.0034677,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.017227,           0.0047966,                   0,             0.99992,                   1,               0.995,             0.82738,            0.013004,           0.0034619,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.017334,           0.0047282,                   0,             0.99992,                   1,               0.995,             0.82823,            0.012955,           0.0034551,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.017141,           0.0047098,                   0,             0.99991,                   1,               0.995,              0.8288,            0.012908,           0.0034488,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.017168,           0.0047393,                   0,             0.99989,                   1,               0.995,             0.83007,            0.012864,           0.0034426,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.017075,           0.0046804,                   0,             0.99988,                   1,               0.995,             0.83059,            0.012818,           0.0034361,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.017052,            0.004708,                   0,             0.99987,                   1,               0.995,             0.83127,            0.012771,           0.0034295,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.017093,           0.0046853,                   0,             0.99987,                   1,               0.995,             0.83256,            0.012724,           0.0034228,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.01687,           0.0046823,                   0,             0.99988,                   1,               0.995,             0.83357,             0.01268,            0.003416,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.016751,           0.0046136,                   0,             0.99988,                   1,               0.995,             0.83422,            0.012636,           0.0034098,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.016937,           0.0046528,                   0,             0.99988,                   1,               0.995,             0.83494,            0.012597,           0.0034042,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.016723,           0.0046515,                   0,             0.99988,                   1,               0.995,             0.83568,            0.012553,           0.0033973,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.016766,           0.0046568,                   0,             0.99989,                   1,               0.995,             0.83706,            0.012516,           0.0033919,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.016696,           0.0045916,                   0,             0.99989,                   1,               0.995,             0.83768,            0.012475,            0.003386,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.016653,           0.0045791,                   0,             0.99989,                   1,               0.995,             0.83846,            0.012435,             0.00338,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.016547,           0.0046016,                   0,             0.99989,                   1,               0.995,             0.83891,            0.012395,           0.0033743,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.016494,           0.0045571,                   0,              0.9999,                   1,               0.995,             0.83963,            0.012357,           0.0033688,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.016492,           0.0045352,                   0,             0.99992,                   1,               0.995,              0.8406,            0.012319,           0.0033628,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.016438,           0.0045966,                   0,             0.99994,                   1,               0.995,             0.84102,             0.01228,           0.0033568,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.016298,           0.0045465,                   0,             0.99995,                   1,               0.995,             0.84158,            0.012244,           0.0033509,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.016209,           0.0045283,                   0,             0.99996,                   1,               0.995,             0.84285,            0.012204,           0.0033446,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.016327,           0.0045075,                   0,             0.99997,                   1,               0.995,             0.84424,            0.012166,           0.0033384,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.016351,           0.0045323,                   0,             0.99998,                   1,               0.995,             0.84488,            0.012128,           0.0033323,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.016198,            0.004578,                   0,             0.99997,                   1,               0.995,             0.84537,            0.012091,           0.0033261,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.016039,           0.0044947,                   0,             0.99997,                   1,               0.995,              0.8464,            0.012053,             0.00332,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.016043,           0.0044664,                   0,             0.99998,                   1,               0.995,             0.84756,            0.012014,           0.0033136,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.015905,           0.0045125,                   0,             0.99998,                   1,               0.995,             0.84805,            0.011975,            0.003307,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.015978,           0.0044999,                   0,             0.99998,                   1,               0.995,             0.84835,            0.011937,           0.0033007,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.015845,           0.0044909,                   0,             0.99998,                   1,               0.995,             0.84912,            0.011897,           0.0032942,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.015678,           0.0044456,                   0,             0.99998,                   1,               0.995,             0.84972,            0.011857,           0.0032876,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.015786,           0.0044214,                   0,             0.99998,                   1,               0.995,             0.85129,            0.011817,           0.0032802,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.015617,           0.0044468,                   0,             0.99998,                   1,               0.995,             0.85192,            0.011779,            0.003274,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.015603,           0.0043675,                   0,             0.99998,                   1,               0.995,             0.85234,            0.011742,           0.0032677,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.015587,           0.0043735,                   0,             0.99998,                   1,               0.995,             0.85297,            0.011704,           0.0032609,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.015455,           0.0043787,                   0,             0.99999,                   1,               0.995,             0.85384,            0.011668,           0.0032542,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.015385,           0.0043832,                   0,             0.99998,                   1,               0.995,             0.85464,            0.011632,           0.0032479,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.015297,           0.0043925,                   0,             0.99998,                   1,               0.995,             0.85516,            0.011594,           0.0032416,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.015155,           0.0043114,                   0,             0.99998,                   1,               0.995,             0.85568,            0.011558,           0.0032353,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.015271,           0.0043449,                   0,             0.99999,                   1,               0.995,             0.85692,             0.01152,            0.003229,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.015118,           0.0043296,                   0,             0.99999,                   1,               0.995,             0.85792,            0.011481,           0.0032228,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.015047,           0.0043396,                   0,             0.99999,                   1,               0.995,             0.85841,            0.011443,            0.003216,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.015052,           0.0043197,                   0,             0.99999,                   1,               0.995,               0.859,            0.011403,           0.0032092,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.015011,           0.0042474,                   0,             0.99999,                   1,               0.995,             0.85995,            0.011365,           0.0032023,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.014902,           0.0042953,                   0,             0.99998,                   1,               0.995,             0.86101,            0.011328,           0.0031959,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.014781,           0.0042851,                   0,             0.99999,                   1,               0.995,             0.86154,            0.011288,           0.0031886,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.014713,           0.0042349,                   0,             0.99999,                   1,               0.995,             0.86217,            0.011247,           0.0031816,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.014731,           0.0042308,                   0,             0.99999,                   1,               0.995,             0.86326,            0.011208,           0.0031747,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.014793,           0.0042036,                   0,             0.99999,                   1,               0.995,             0.86385,            0.011169,           0.0031675,                   0,            0.004984,            0.004984,            0.004984
                 154,             0.01451,            0.004249,                   0,             0.99999,                   1,               0.995,             0.86503,            0.011129,           0.0031601,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.01458,           0.0041921,                   0,             0.99998,                   1,               0.995,             0.86543,            0.011089,           0.0031529,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.014509,           0.0041891,                   0,             0.99998,                   1,               0.995,             0.86666,            0.011049,           0.0031456,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.014418,           0.0041918,                   0,             0.99998,                   1,               0.995,             0.86711,            0.011006,            0.003138,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.014304,           0.0041631,                   0,             0.99998,                   1,               0.995,             0.86771,            0.010964,             0.00313,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.014314,           0.0041619,                   0,             0.99998,                   1,               0.995,             0.86827,            0.010922,           0.0031221,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.014121,           0.0041629,                   0,             0.99998,                   1,               0.995,              0.8691,            0.010878,            0.003114,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.014321,           0.0041301,                   0,             0.99998,                   1,               0.995,             0.87017,            0.010834,           0.0031059,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.014223,           0.0040794,                   0,             0.99998,                   1,               0.995,             0.87073,            0.010792,           0.0030982,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.014122,           0.0041133,                   0,             0.99998,                   1,               0.995,             0.87139,            0.010748,           0.0030899,                   0,            0.004654,            0.004654,            0.004654
                 164,             0.01389,           0.0040903,                   0,             0.99998,                   1,               0.995,             0.87238,            0.010706,           0.0030817,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.013912,           0.0040704,                   0,             0.99998,                   1,               0.995,             0.87279,            0.010664,           0.0030739,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.013869,           0.0040359,                   0,             0.99998,                   1,               0.995,             0.87431,            0.010622,           0.0030661,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.013773,           0.0040064,                   0,             0.99998,                   1,               0.995,             0.87482,            0.010576,           0.0030573,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.013824,           0.0039965,                   0,             0.99998,                   1,               0.995,              0.8756,            0.010531,           0.0030488,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.013726,           0.0040012,                   0,             0.99998,                   1,               0.995,             0.87625,            0.010485,           0.0030402,                   0,            0.004456,            0.004456,            0.004456
                 170,             0.01363,           0.0039511,                   0,             0.99998,                   1,               0.995,             0.87737,             0.01044,           0.0030317,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.013552,           0.0040206,                   0,             0.99998,                   1,               0.995,             0.87813,            0.010392,           0.0030226,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.013364,           0.0039951,                   0,             0.99998,                   1,               0.995,             0.87858,            0.010344,           0.0030135,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.013475,           0.0039438,                   0,             0.99998,                   1,               0.995,             0.87953,            0.010297,           0.0030046,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.013432,           0.0039547,                   0,             0.99998,                   1,               0.995,             0.88068,            0.010247,           0.0029948,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.013323,           0.0039135,                   0,             0.99998,                   1,               0.995,             0.88152,            0.010196,           0.0029852,                   0,            0.004258,            0.004258,            0.004258
